Fecha,Aeropuerto,Pasajeros,Capacidad,LoadFactor
2016-02-01,Aeropuerto Isla de Pascua,546,589.1999999999999,92.66802443991854
2016-02-01,Aeropuerto La Florida,38,38,100
2016-02-01,Aeropuerto Punta Arenas,222,316.7499999999999,70.08681925809
2016-03-01,Aeropuerto C. Arturo Merino Benítez,312368.31,419690.55,74.42824481037279
2016-03-01,Aeropuerto Cerro Moreno,1634,1710.5,95.52762350190002
2016-03-01,Aeropuerto Diego Aracena,2302,3044.5499999999997,75.61051715360234
2016-03-01,Aeropuerto Isla de Pascua,575,605.1499999999999,95.01776419069654
2016-03-01,Aeropuerto Punta Arenas,197,307.64999999999986,64.03380464813915
2016-03-01,Chacalluta - Aeropuerto,0,0,NA
2016-04-01,Aeropuerto C. Arturo Merino Benítez,310016.67,427329.3,72.54748738268123
2016-04-01,Aeropuerto Cerro Moreno,1.17,1706.25,0.06857142857142857
2016-04-01,Aeropuerto Diego Aracena,1350,3044.5499999999997,44.34152830467557
2016-04-01,Aeropuerto Isla de Pascua,332,605.1499999999999,54.862430802280436
2016-04-01,Aeropuerto Punta Arenas,299,345.79999999999995,86.46616541353384
2016-04-01,Chacalluta - Aeropuerto,0,0,NA
2016-05-01,Aeropuerto C. Arturo Merino Benítez,315319.89,437124.8,72.1349806737115
2016-05-01,Aeropuerto Cerro Moreno,1134,1702,66.62749706227967
2016-05-01,Aeropuerto Diego Aracena,1740,3398.5499999999997,51.19830515955335
2016-05-01,Aeropuerto Isla de Pascua,328,605.1499999999999,54.20143766008428
2016-05-01,Aeropuerto Punta Arenas,88,345.79999999999995,25.44823597455177
2016-06-01,Aeropuerto C. Arturo Merino Benítez,332073.44,440258.75,75.42688021532791
2016-06-01,Aeropuerto Carriel Sur,72,72,100
2016-06-01,Aeropuerto Cerro Moreno,1377,1697.75,81.107347960536
2016-06-01,Aeropuerto Diego Aracena,1984,3397.8999999999996,58.38900497366021
2016-06-01,Aeropuerto Isla de Pascua,264,605.1499999999999,43.62554738494589
